sample_id,defense,defense_params,threshold,similarity_after_attack,mean_similarity,raw_mean_similarity,std_similarity,n_accepted,accept_rate,accepted_after_attack,accepted_after_defense,attack_success_after_defense,defense_success,defense_time_sec
vf_527d834a90c9,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.54064083,0.43204004,0.42145886,0.02857031,3,0.06,True,False,False,True,5.707266
vf_b5a935500105,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.55387908,0.49551442,0.49096317,0.01780639,37,0.74,True,True,True,False,5.315158
vf_de0f6061f493,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49679407,0.44110927,0.43392361,0.02144086,0,0.0,True,False,False,True,5.434229
vf_6663921a6626,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53202081,0.47976959,0.47281073,0.02214133,17,0.34,True,True,True,False,5.172676
vf_41c6973c03e0,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48298448,0.40715373,0.40324955,0.0190991,0,0.0,True,False,False,True,5.012192
vf_9acfe905916e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.52045453,0.43871102,0.42909893,0.02831887,2,0.04,True,False,False,True,5.391948
vf_2f6130d35090,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.57751894,0.51056218,0.50178622,0.02899131,41,0.82,True,True,True,False,5.07494
vf_03b510d57c63,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.6847592,0.62662774,0.61245997,0.02208623,50,1.0,True,True,True,False,5.127939
vf_46e08db5e071,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.51011944,0.42903453,0.42190651,0.02527406,1,0.02,True,False,False,True,5.04911
vf_f26efc3bb6c7,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.55842996,0.47000459,0.46240756,0.02528504,14,0.28,True,False,False,True,4.781065
vf_e671675ac227,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49051306,0.42665946,0.42048513,0.02742743,0,0.0,True,False,False,True,5.242372
vf_97fa354afcb4,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.57887578,0.48783833,0.47630138,0.0309876,20,0.4,True,True,True,False,4.675708
vf_bc1ed0750229,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50937778,0.4134056,0.40627131,0.02511684,0,0.0,True,False,False,True,5.579227
vf_e275ab08155c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49607688,0.37976527,0.37255253,0.02970676,0,0.0,True,False,False,True,6.289503
vf_68193fc82496,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53568834,0.43423828,0.42612962,0.03119921,1,0.02,True,False,False,True,5.899735
vf_fd2dc09a4922,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50137103,0.41565737,0.41080245,0.0209524,0,0.0,True,False,False,True,6.314553
vf_5ceb016afb70,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48819858,0.42146686,0.4142059,0.02524993,0,0.0,True,False,False,True,4.92
vf_1fe2e3fe83ec,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.65094602,0.58072144,0.56845749,0.03013636,50,1.0,True,True,True,False,5.142135
vf_72324ad0e227,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49328721,0.43207049,0.4239133,0.0313786,2,0.04,True,False,False,True,5.973511
vf_3f32d29a8cee,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50621539,0.47712344,0.47264064,0.0155015,16,0.32,True,False,False,True,6.8107
vf_07ec11b48deb,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48058242,0.3930313,0.38716919,0.02843146,0,0.0,True,False,False,True,5.224938
vf_e612aaf13640,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.46986148,0.41193128,0.40625885,0.02772244,0,0.0,False,False,False,False,5.436035
vf_41614476c16e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.47257304,0.39447159,0.38859446,0.02323071,0,0.0,False,False,False,False,5.166088
vf_9d4939f90db1,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.76164943,0.68622124,0.66725608,0.03339737,50,1.0,True,True,True,False,5.412434
vf_3bb8e110c38d,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.45437643,0.39383668,0.38885995,0.02120528,0,0.0,False,False,False,False,5.301506
vf_67de95f8645a,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.54405886,0.48923662,0.48025443,0.030538,28,0.56,True,True,True,False,5.027789
vf_7678ec274d7c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.58916825,0.46532908,0.46016598,0.02230095,8,0.16,True,False,False,True,4.982713
vf_77929c8ec426,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62700939,0.55765212,0.55066896,0.02145308,50,1.0,True,True,True,False,5.112934
vf_2e9c27c13851,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.46530131,0.31846648,0.31213266,0.02277404,0,0.0,False,False,False,False,4.954298
vf_5a94edcabb77,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.85273051,0.69335085,0.67141796,0.03283613,50,1.0,True,True,True,False,7.330101
vf_52d06780daa5,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.57500362,0.47430342,0.46810603,0.01467237,14,0.28,True,False,False,True,5.556855
vf_a68bec247b5f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.51708746,0.42170358,0.41586846,0.02222642,0,0.0,True,False,False,True,5.983081
vf_b2db9c409315,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.61280626,0.5565365,0.54732124,0.0200068,50,1.0,True,True,True,False,5.42068
vf_d4a4986c9b43,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.49036503,0.38192874,0.37583125,0.01951712,0,0.0,True,False,False,True,5.307958
vf_48af2e6e91f3,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.61002445,0.51110744,0.50290234,0.02717289,38,0.76,True,True,True,False,7.106029
vf_1a4a35393e20,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64751679,0.56223488,0.55436903,0.02206669,50,1.0,True,True,True,False,5.771291
vf_69175dbfa8d3,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.63731933,0.50633609,0.49771136,0.02610438,41,0.82,True,True,True,False,7.094825
vf_c81119d6f007,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59527409,0.51608676,0.5104274,0.02214542,46,0.92,True,True,True,False,5.920365
vf_498718c6771b,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53963292,0.43765211,0.43005688,0.02078239,0,0.0,True,False,False,True,6.711221
vf_e107de7de7da,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59028733,0.47538394,0.46712246,0.02678033,13,0.26,True,False,False,True,7.651862
vf_a23252c49cc4,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.54455751,0.45167246,0.44500709,0.02385875,3,0.06,True,False,False,True,6.373894
vf_2c466f39d332,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.56392252,0.47698554,0.46957997,0.02045593,14,0.28,True,False,False,True,6.122613
vf_f57c19c5dea3,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.47401795,0.38073656,0.37395654,0.02955494,0,0.0,False,False,False,False,5.767995
vf_a8e2b921c5b6,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.43004632,0.31797928,0.30986336,0.02197927,0,0.0,False,False,False,False,6.577366
vf_13a12934ff67,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.45301235,0.38802215,0.38406501,0.01613478,0,0.0,False,False,False,False,6.096544
vf_5820ea90f485,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.39753827,0.31332868,0.30819253,0.02659536,0,0.0,False,False,False,False,6.197908
vf_2930b537e255,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.5750457,0.48826787,0.48168584,0.01999541,28,0.56,True,True,True,False,6.242089
vf_eb469b686ce7,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.46973717,0.37084365,0.36683511,0.02625362,0,0.0,False,False,False,False,5.887136
vf_02078c82c5db,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.71012312,0.58666629,0.5770442,0.02190589,50,1.0,True,True,True,False,5.362434
vf_81ae781b218a,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.44783095,0.34904337,0.344461,0.0222035,0,0.0,False,False,False,False,4.753545
vf_c3984b058a86,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.35777718,0.28889546,0.2842177,0.02811644,0,0.0,False,False,False,False,8.917925
vf_3f651fc8ba9f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.70092881,0.61945963,0.60740354,0.02370496,50,1.0,True,True,True,False,7.8458
vf_5e27ff52cbc6,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.66758567,0.58986866,0.5837815,0.01479255,50,1.0,True,True,True,False,6.753255
vf_9ace921f0225,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59128428,0.51465988,0.50765815,0.01780512,47,0.94,True,True,True,False,4.870876
vf_30e8c64b814c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62246752,0.4957,0.48522191,0.02346767,30,0.6,True,True,True,False,4.504675
vf_32404cabc23c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.74971253,0.64146137,0.63452338,0.01916422,50,1.0,True,True,True,False,7.166198
vf_53d46e8db10e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48609057,0.40551072,0.40097678,0.02063179,0,0.0,True,False,False,True,6.558737
vf_d694167e9725,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.44271356,0.35843298,0.35193519,0.02443364,0,0.0,False,False,False,False,5.733546
vf_07cf156bd5b2,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.76901895,0.67923117,0.66501823,0.02530477,50,1.0,True,True,True,False,5.437019
vf_88daab4b79fc,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.42918509,0.3126145,0.30674096,0.0251858,0,0.0,False,False,False,False,6.642653
vf_3c0c901eb282,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.69724667,0.61985427,0.61407572,0.0180226,50,1.0,True,True,True,False,6.826342
vf_27aca419b7af,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.70048028,0.5658049,0.55249993,0.02681736,50,1.0,True,True,True,False,7.139305
vf_a282ca20f9db,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.5338518,0.39949042,0.39317744,0.02519253,0,0.0,True,False,False,True,5.805586
vf_5161d764390e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.40393558,0.32180503,0.31807782,0.02308075,0,0.0,False,False,False,False,4.387711
vf_b7984d7baebe,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.65716189,0.58215761,0.57697232,0.01605493,50,1.0,True,True,True,False,4.501133
vf_517bc045f993,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53772897,0.42540416,0.42119814,0.01552486,0,0.0,True,False,False,True,4.483405
vf_7115de04e344,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64312524,0.56455106,0.55554123,0.02057009,50,1.0,True,True,True,False,4.650761
vf_11499d8bd2f2,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.42546353,0.33959502,0.33341419,0.02264991,0,0.0,False,False,False,False,4.498684
vf_0c740ed362fa,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.66029459,0.58423692,0.57563367,0.02136571,50,1.0,True,True,True,False,4.647568
vf_da425b64a666,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.54449701,0.47581628,0.46718456,0.02456473,18,0.36,True,False,False,True,5.780338
vf_7234807594c7,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.57966363,0.48410317,0.47943126,0.01748651,27,0.54,True,True,True,False,4.536933
vf_5e55848a9327,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62548357,0.52698934,0.51462195,0.02575898,45,0.9,True,True,True,False,4.363139
vf_bc6f07cdfb64,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.7214722,0.63108736,0.61979218,0.02777458,50,1.0,True,True,True,False,4.249372
vf_c881dcaacc5c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.80284739,0.73633248,0.72019436,0.01954961,50,1.0,True,True,True,False,4.189344
vf_7067569a1052,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62827718,0.53063822,0.52196493,0.02180205,49,0.98,True,True,True,False,4.404474
vf_6f5a7ccd035b,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.45193756,0.33097988,0.32261177,0.0339718,0,0.0,False,False,False,False,4.253934
vf_69347058fea9,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.66382629,0.552414,0.5429732,0.02332884,50,1.0,True,True,True,False,4.230344
vf_7adbcba2f659,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.60974216,0.53026497,0.52299768,0.02177549,47,0.94,True,True,True,False,4.2692
vf_813b582996b0,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.72140396,0.62045026,0.60661472,0.02500763,50,1.0,True,True,True,False,3.938574
vf_6b0e24ee0c42,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62422049,0.50163972,0.49190329,0.02210632,33,0.66,True,True,True,False,3.978715
vf_2b633530dc06,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64781165,0.50194532,0.49212562,0.02872172,31,0.62,True,True,True,False,3.905454
vf_5f9215622b13,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48630953,0.33931839,0.33129335,0.0246964,0,0.0,True,False,False,True,3.938825
vf_b17c86a3ea19,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50978082,0.39988279,0.395785,0.01820253,0,0.0,True,False,False,True,3.970991
vf_f1d0486172a0,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.68940109,0.57998085,0.56923915,0.02606549,49,0.98,True,True,True,False,3.78792
vf_5fefae7baf11,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.58810425,0.48991454,0.48441998,0.01840172,30,0.6,True,True,True,False,3.85059
vf_6929e956eb55,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.40261775,0.30987906,0.30607061,0.02592273,0,0.0,False,False,False,False,3.884289
vf_d6bbc36eb3a1,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62649572,0.53439206,0.52495051,0.02195982,49,0.98,True,True,True,False,3.911473
vf_e57b102395f1,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.542292,0.40629664,0.3986399,0.03429713,0,0.0,True,False,False,True,4.896898
vf_6de98ee3f79f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48942947,0.40426919,0.40091283,0.01708178,0,0.0,True,False,False,True,4.698221
vf_2322685d98ee,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48146623,0.3814024,0.37582646,0.0222427,0,0.0,True,False,False,True,4.176873
vf_706e2b75254c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.78762037,0.7088995,0.69389691,0.02573729,50,1.0,True,True,True,False,4.250619
vf_27cbdaa2d10a,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.4388282,0.31363961,0.30875426,0.02924052,0,0.0,False,False,False,False,3.840025
vf_34c04a49a43f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62508571,0.54163671,0.53090448,0.02856291,48,0.96,True,True,True,False,3.922441
vf_8fd0ba6d5a59,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.58670843,0.54374909,0.53858276,0.01471679,50,1.0,True,True,True,False,3.986486
vf_6a63f157f962,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.6222719,0.50434238,0.49617998,0.02827028,35,0.7,True,True,True,False,4.058527
vf_fc3d91e52d0c,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.60694122,0.52485347,0.51724833,0.02708179,46,0.92,True,True,True,False,4.005837
vf_c5ad29a93239,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.4919723,0.37195513,0.36594487,0.02562391,0,0.0,True,False,False,True,3.976935
vf_fb9fc409e7cd,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.52741891,0.46190533,0.45478862,0.01994579,4,0.08,True,False,False,True,4.165287
vf_6be53278bc7b,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.4424099,0.27246284,0.26608335,0.03467596,0,0.0,False,False,False,False,4.021214
vf_0e5d5858de2b,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.51396734,0.44441256,0.43695963,0.019265,0,0.0,True,False,False,True,4.279554
vf_93abc506fb23,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.61170793,0.51175714,0.50423529,0.02345196,43,0.86,True,True,True,False,3.975104
vf_fac2e7818510,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.85301054,0.77499747,0.75481922,0.02700461,50,1.0,True,True,True,False,3.992798
vf_13d5d3fae321,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.57804531,0.49632812,0.48974782,0.0189415,34,0.68,True,True,True,False,3.745169
vf_34d3aacf6835,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.69334275,0.60938501,0.59756889,0.03063989,50,1.0,True,True,True,False,4.254177
vf_7dba6446a3fd,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.48977059,0.43380687,0.42686346,0.0269315,1,0.02,True,False,False,True,3.990129
vf_87b25b3220a2,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.53028208,0.41539478,0.4079064,0.02537354,0,0.0,True,False,False,True,4.080405
vf_be41f89ac067,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.61463392,0.47254819,0.46690072,0.02452419,12,0.24,True,False,False,True,4.231294
vf_2b57f4beca06,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64625371,0.56447864,0.55716748,0.02195642,50,1.0,True,True,True,False,3.60797
vf_a60b00595fd9,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.50037992,0.32411262,0.31653873,0.02710941,0,0.0,True,False,False,True,4.010758
vf_0591f2a2c339,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.88146496,0.70953077,0.68590518,0.03327367,50,1.0,True,True,True,False,3.875152
vf_d6917f1f0a42,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.59695071,0.48252454,0.47588949,0.01609198,20,0.4,True,True,True,False,4.308239
vf_959f46c9c7af,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.54770464,0.42544991,0.41876062,0.02317378,0,0.0,True,False,False,True,4.270592
vf_26e61d74d27f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.6393522,0.57326984,0.56328234,0.02170136,50,1.0,True,True,True,False,3.888108
vf_42a4f8a1f5fe,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.51401764,0.39264506,0.38594478,0.02114429,0,0.0,True,False,False,True,3.492588
vf_c241d9ece98e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.64413863,0.52442783,0.51533478,0.02986286,45,0.9,True,True,True,False,3.36438
vf_58246b8715b4,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.67302829,0.57687086,0.56777134,0.02518357,50,1.0,True,True,True,False,3.30798
vf_47f2fcecb685,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.65375811,0.50130153,0.49193469,0.02941383,34,0.68,True,True,True,False,3.405987
vf_5763c567fa7f,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.62133402,0.52251357,0.51618574,0.02641247,46,0.92,True,True,True,False,3.733092
vf_53041ab01867,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.56838417,0.45251042,0.44351834,0.0217562,3,0.06,True,False,False,True,3.873285
vf_79a6a001672e,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.61619002,0.47386631,0.46435676,0.03021902,13,0.26,True,False,False,True,3.784605
vf_5ac12474b323,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.56827426,0.45562476,0.44679761,0.03167911,7,0.14,True,False,False,True,3.647546
vf_6ebbe2b8ba39,randomized_smoothing,"{""n_samples"": 50, ""sigma"": 0.05}",0.47966246581077576,0.58929801,0.48338789,0.47498482,0.02243379,18,0.36,True,True,True,False,3.778595
